2015-10-15T19:30:00;Scottish Chamber Orchestra: Brahms Symphony No 2;Having spent 15 years writing his Symphony No 1, Brahms wrote his second symphony over the course of a single summer, which goes some way to explain its upbeat mood. Here it's with the Manfred Overture by Brahms' great friend Schumann, and the Piano Concerto of Arnold Schoenberg, Brahms' most brilliant 20th century champion. Robin Ticciati conducts with Lars Vogt as the featured soloist.;http://www.sco.org.uk
2015-10-08T19:30:00;Scottish Chamber Orchestra: Brahms Symphony No 1;Brahms' Symphony No 1 used to be nicknamed 'Beethoven's Tenth' because its rugged grandeur reminded early listeners of Beethoven's work this annoyed Brahms, who had spent years working on it precisely so that people wouldn't think he'd just knocked it out. Here it's accompanied by its composer's cheerful Academic Festival Overture and Berg's heartbreaking Violin Concerto, featuring Isabelle Faust. Robin Ticciati conducts.;http://www.sco.org.uk
2015-05-23T20:00:00;Dream Themes;British rock act whose repertoire covers classic TV themes including The Professionals, Who Wants To Be A Millionaire, Bergerac, Black Beauty, The Rockford Files, Curb Your Enthusiasm and Quantum Leap.;http://dreamthemes.tv/
2015-12-03T19:30:00;Scottish Chamber Orchestra: A Boy was Born -- Music for Christmas;Elizabeth Poston's setting of Jesus Christ the Apple Tree' Britten's A Boy was Born Bach's 'Komm, Jesu, komm' and the chorale prelude 'Nun komm der heiden Heiland BWV 659' Three Christmas motets by Praetorius and Michael Haydn's Ave regina caelorum. The SCO Chorus and Gregory Batsleer are joined by choristers of St Mary's Cathedral and Duncan Ferguson (organ).;http://www.sco.org.uk
2015-08-20T20:30:00;Claude Bourbon;French-born guitar virtuoso plays a solo set of rhythm and blues mixed with elements of world music.;http://www.claudebourbon.org/
2015-10-09T19:00:00;Ben Montague;Upcoming mainstream pop singer-songwriter who has supported Stereophonics, The Wanted and Westlife's Shane Filan.;http://www.benmontague.co.uk
2015-06-12T19:30:00;The Piano Guys;Four Utah dads bringing a rock'n'roll style to classical works.;http://thepianoguys.com
2015-04-25T19:00:00;Texas;Reformed Glasgow pop-rockers fronted by Sharleen Spiteri have another crack at the whip.;http://www.texas.uk.com/
2015-05-02T19:30:00;The Chicago Blues Brothers;Celebrating the music of The Blues Brothers with a packed revue of blues and soul.;http://www.thebluesbrothers.co.uk/
2015-05-14T19:30:00;The Fureys & Davey Arthur;The Irish legends perform with Davey Arthur.;http://www.thefureys.com
2015-08-04T19:30:00;The ELO Experience;This tribute band recreates 'Mr Blue Sky' et al, probably with a more stable line-up than the real ELO.;http://www.elotribute.com
2015-06-11T14:30:00;Matthew Bourne's The Car Man;The legendary choreographer presents his latest offbeat piece, a re-imagining of Bizet's Carmen.;http://new-adventures.net/the-car-man
2015-04-26T19:30:00;Blue Rose Code;Celtic ballads from Edinburgh born singer-songwriter Ross Wilson.;http://www.bluerosecode.com/
2015-09-03T19:00:00;The Damned;The punk legends, fronted by Dave Vanian, zip through their pithy catalogue.;http://www.officialdamned.com
2015-05-19T20:30:00;Foil, Arms and Hog;Surreal and energetic sketch comedy and stand-up from the Irish trio comprising Sean Finegan, Conor Mc Kenna and Sean Flanagan.;http://www.foilarmsandhog.ie
2015-04-07T14:00:00;Conversations for Change;A presentation and discussion about ways to be involved with Conversations for Change, which aims to make mental health an easier subject for everyday conversation.;http://www.conversationsforchange.scot
2015-10-31T10:30:00;SCO Explore: Wagner;The SCO, together with Dr Elaine Kelly of the University of Edinburgh, conductor Emmanuel Krivine and mezzo-soprano Karen Cargill, explore the work of Richard Wagner, including how his personal relationship fed into his composition. (And did they ever.);http://www.sco.org.uk
2016-04-23T10:30:00;SCO Explore: JS Bach;John Kitchen explores Bach's Magnificat with musicians of the Scottish Chamber Orchestra, in a day linked to the performance of the work on Thu 28 Apr at The Queen's Hall.;http://www.sco.org.uk
2015-05-14T19:30:00;Mess;Olivier Award nominee Caroline Horton's play about anorexia and recovery. Ages 13+.;http://www.chinaplatetheatre.com/
2015-04-03T19:15:00;Ruarri Joseph;The Edinburgh-born singer-songwriter and multi-instrumentalist, now based in Newquay, Cornwall, plays soulful and laid back pop-rock.;http://www.ruarrijoseph.co.uk
2015-05-12T19:30:00;Sarah McQuaid;The Spanish-born singer-songwriter and guitarist plays traditional tunes alongside contemporary songs.;http://www.sarahmcquaid.com/
2015-05-31T20:30:00;Zoe Lyons: Mustard Cutter;Award-winning Zoe is back with a brand new hour of comedy which takes a sly look at life before dissecting it with razor-sharp wit. This time she's looking at snobbery in the 21st century and how we're all guilty of it.;http://www.zoelyons.co.uk/
2015-12-19T19:00:00;Big Country;A re-formed configuration of the veteran Scotrockers whose hits include 'Fields of Fire' and 'In a Big Country'. They are joined on this leg of the tour by special guests Stevie Agnew, Dave Sharp and Simon Hugh.;http://www.bigcountry.co.uk/
2015-04-11T10:00:00;Creative Writing;Workshop full of ideas and inspiration for creative writing.;http://wordperfectworkshops.com
2015-04-04T10:00:00;Creative Writing;Creative writing workshop for teens aged 11--18, designed to equip participants with writing ideas, tips and techniques.;http://www.wordperfectworkshops.com
2015-05-10T18:00:00;McKenzie Sawers Duo;The pair from Edinburgh embraces jazz, classical, world and folk with their saxophone and piano.;http://www.mckenziesawersduo.com
2015-05-02T10:00:00;Angie Lewin: A Natural Selection;The flora, fauna and landscapes of North Norfolk and the Scottish Highlands.;http://www.angielewin.co.uk/
2015-05-02T10:00:00;Nel Linssen: Nel Linssen at 80;Bracelets and necklaces made from paper by Dutch jeweller.;http://www.nellinssen.nl/
2015-05-02T10:00:00;Derrick Guild: Mother Figures;First major solo exhibition in the UK by Scottish artist who's been based in America for several years.;http://derrickguild.com/
2015-08-22T11:00:00;Christine Brewer and Roger Vignoles;Renowned American soprano Christine Brewer is accompanied by pianist Roger Vignoles. ;http://www.christinebrewer.com/
2015-04-17T19:15:00;The Jensen Interceptors;Powerhouse five-piece blues band from Glasgow and The Scottish Borders.;http://interceptors.wix.com/web
2015-04-25T19:00:00;The Harold Improv Comedy Show;Improv fun from across the world.;http://www.tbcimprov.co.uk
2015-04-04T19:00:00;Improv Games  ;Improv games from different teams competing for off-the-cuff glory.;http://www.tbcimprov.co.uk/
2015-05-23T12:00:00;The Whisky Stramash;A chance to sample as many different whiskies as you think you can handle, also promising 'mystery, entertainment, comicality and madcap pioneering.'
2015-04-10T19:00:00;The View; Dundonian indie scamps.;http://www.theviewareonfire.com/
2015-04-17T20:00:00;Alan Carr: Yap, Yap, Yap;The camp face of Chatty Man proves his status as the King of bitchy comedy.;http://www.alancarr.net/
2015-06-21T19:00:00;Laurence Jones;Singer-songwriter/guitarist playing energetic modern blues-rock.;http://www.laurencejonesmusic.com
